member_id,recency_purchase_days,purchase_count,total_spend,recency_call_days,call_count,avg_call_time,pickup_rate,unreachable_rate,target
C0980100000509,999.0,0,0.0,219,6,80.0,0.5,0.3333333333333333,0
C0980100000967,999.0,0,0.0,65,18,30.88888888888889,0.2777777777777778,0.4444444444444444,1
C0980100002763,999.0,0,0.0,184,5,107.0,0.4,0.6,1
C0980100011840,999.0,0,0.0,9,11,53.36363636363637,0.7272727272727273,0.18181818181818182,0
C0980100013721,999.0,0,0.0,75,9,172.88888888888889,0.8888888888888888,0.1111111111111111,2
C0980100015510,999.0,0,0.0,141,11,15.090909090909092,0.2727272727272727,0.5454545454545454,0
C0980100015565,999.0,0,0.0,28,15,69.26666666666667,0.06666666666666667,0.4,1
C0980100023010,999.0,0,0.0,9,42,627.4761904761905,0.38095238095238093,0.6428571428571429,0
C0980100023911,999.0,0,0.0,960,7,155.85714285714286,0.7142857142857143,0.0,0
C0980100025830,999.0,0,0.0,65,51,54.745098039215684,0.27450980392156865,0.6470588235294118,2
C0980100026431,999.0,0,0.0,155,8,109.25,0.875,0.125,0
C0980100027506,999.0,0,0.0,325,3,138.66666666666666,0.6666666666666666,0.3333333333333333,0
C0980100032302,999.0,0,0.0,65,15,124.06666666666666,0.7333333333333333,0.06666666666666667,1
C0980100033071,999.0,0,0.0,78,9,705.0,0.6666666666666666,0.4444444444444444,2
C0980100038489,999.0,0,0.0,50,41,254.2439024390244,0.43902439024390244,0.024390243902439025,2
C0980100042035,999.0,0,0.0,288,6,36.833333333333336,0.16666666666666666,0.6666666666666666,0
C0980100043223,999.0,0,0.0,10,20,269.2,0.55,0.3,2
C0980100057770,999.0,0,0.0,231,11,193.8181818181818,0.8181818181818182,0.18181818181818182,1
C0980100060749,999.0,0,0.0,189,24,229.0,0.4583333333333333,0.6666666666666666,0
C0980100063276,999.0,0,0.0,312,7,152.0,1.0,0.0,0
C0980100063320,999.0,0,0.0,7,21,70.0,0.6190476190476191,0.19047619047619047,1
C0980100065232,999.0,0,0.0,120,7,110.28571428571429,0.42857142857142855,0.42857142857142855,0
C0980100073015,999.0,0,0.0,197,6,210.33333333333334,1.0,0.0,0
C0980100077099,999.0,0,0.0,36,11,57.54545454545455,0.45454545454545453,0.09090909090909091,0
C0980100078768,999.0,0,0.0,151,9,105.0,0.6666666666666666,0.2222222222222222,0
C0980100080464,999.0,0,0.0,131,27,166.88888888888889,0.6666666666666666,0.3333333333333333,2
C0980100081386,999.0,0,0.0,480,6,312.6666666666667,0.8333333333333334,0.0,1
C0980100082307,999.0,0,0.0,39,11,32.36363636363637,0.6363636363636364,0.36363636363636365,0
C0980100083670,999.0,0,0.0,105,27,13.555555555555555,0.18518518518518517,0.7777777777777778,1
C0980100090401,999.0,0,0.0,135,20,19.85,0.1,0.75,1
C0980100093907,999.0,0,0.0,50,21,83.95238095238095,0.7142857142857143,0.19047619047619047,1
